so_simple--[2024-04-04 14:15:21.382442] , Network: grid_10, Trip Size: 1004, Average Time: 336.612, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-04 14:20:38.061419] , Network: grid_10, Trip Size: 1005, Average Time: 339.481, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-04 14:25:38.173558] , Network: grid_10, Trip Size: 1006, Average Time: 329.486, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1588
so_simple--[2024-04-04 14:30:31.020933] , Network: grid_10, Trip Size: 1007, Average Time: 332.271, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1586
so_simple--[2024-04-04 14:34:44.433268] , Network: grid_10, Trip Size: 1008, Average Time: 326.6, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1615
so_simple--[2024-04-04 14:39:17.293451] , Network: grid_10, Trip Size: 1009, Average Time: 335.188, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1630
so_simple--[2024-04-04 14:43:48.135302] , Network: grid_10, Trip Size: 1000, Average Time: 331.517, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1606
so_simple--[2024-04-04 14:48:28.827232] , Network: grid_10, Trip Size: 1001, Average Time: 319.022, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1720
so_simple--[2024-04-04 14:52:54.708420] , Network: grid_10, Trip Size: 1002, Average Time: 329.408, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-04 14:57:07.845905] , Network: grid_10, Trip Size: 1003, Average Time: 328.759, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1596
so_simple--[2024-04-04 15:01:18.290198] , Network: grid_10, Trip Size: 1004, Average Time: 326.304, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1588
so_simple--[2024-04-04 15:05:54.820328] , Network: grid_10, Trip Size: 1005, Average Time: 351.837, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1693
so_simple--[2024-04-04 15:10:15.681438] , Network: grid_10, Trip Size: 1006, Average Time: 326.228, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1630
so_simple--[2024-04-04 15:14:31.610862] , Network: grid_10, Trip Size: 1007, Average Time: 319.939, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1603
so_simple--[2024-04-04 15:19:03.493243] , Network: grid_10, Trip Size: 1008, Average Time: 321.403, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1641
so_simple--[2024-04-06 12:15:34.031262] , Network: grid_10, Trip Size: 1009, Average Time: 330.871, Increase factor: 1.02, Congestion T: 3, Maxspeed: 15.0, sim_time: 1630
so_simple--[2024-04-06 13:00:24.798373] , Network: grid_10, Trip Size: 1000, Average Time: 319.708, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1586
so_simple--[2024-04-06 13:04:29.578172] , Network: grid_10, Trip Size: 1001, Average Time: 324.066, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1677
so_simple--[2024-04-06 13:08:35.395025] , Network: grid_10, Trip Size: 1002, Average Time: 342.492, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-06 13:12:40.468747] , Network: grid_10, Trip Size: 1003, Average Time: 341.543, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-06 13:17:02.257891] , Network: grid_10, Trip Size: 1004, Average Time: 327.214, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1828
so_simple--[2024-04-06 13:25:51.073426] , Network: grid_10, Trip Size: 1005, Average Time: 347.777, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-06 13:34:38.831042] , Network: grid_10, Trip Size: 1006, Average Time: 339.136, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1638
so_simple--[2024-04-06 13:40:14.264797] , Network: grid_10, Trip Size: 1007, Average Time: 344.081, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-06 13:55:33.689458] , Network: grid_10, Trip Size: 1008, Average Time: 349.532, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1676
so_simple--[2024-04-06 14:06:03.267986] , Network: grid_10, Trip Size: 1009, Average Time: 327.551, Increase factor: 1.03, Congestion T: 3, Maxspeed: 15.0, sim_time: 1640
so_simple--[2024-04-06 14:10:15.054551] , Network: grid_10, Trip Size: 1000, Average Time: 332.064, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1698
so_simple--[2024-04-06 14:16:50.286107] , Network: grid_10, Trip Size: 1001, Average Time: 335.725, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-06 14:25:51.484753] , Network: grid_10, Trip Size: 1002, Average Time: 343.257, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-06 14:32:20.770057] , Network: grid_10, Trip Size: 1003, Average Time: 344.34, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1594
so_simple--[2024-04-06 14:41:05.091355] , Network: grid_10, Trip Size: 1004, Average Time: 339.792, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1709
so_simple--[2024-04-06 14:48:44.555797] , Network: grid_10, Trip Size: 1005, Average Time: 352.041, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1630
so_simple--[2024-04-06 14:53:01.918482] , Network: grid_10, Trip Size: 1006, Average Time: 330.079, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1676
so_simple--[2024-04-06 15:13:47.428347] , Network: grid_10, Trip Size: 1007, Average Time: 332.707, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-06 15:20:02.844673] , Network: grid_10, Trip Size: 1008, Average Time: 341.661, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1679
so_simple--[2024-04-06 15:28:36.658103] , Network: grid_10, Trip Size: 1009, Average Time: 355.715, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 1766
so_simple--[2024-04-06 15:37:18.323777] , Network: grid_10, Trip Size: 1000, Average Time: 348.01, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1684
so_simple--[2024-04-06 15:43:37.649170] , Network: grid_10, Trip Size: 1001, Average Time: 343.934, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1587
so_simple--[2024-04-06 15:57:26.353644] , Network: grid_10, Trip Size: 1002, Average Time: 348.315, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1676
so_simple--[2024-04-06 16:02:56.720104] , Network: grid_10, Trip Size: 1003, Average Time: 352.086, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1649
so_simple--[2024-04-06 16:08:40.247672] , Network: grid_10, Trip Size: 1004, Average Time: 349.364, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1618
so_simple--[2024-04-06 16:16:25.222493] , Network: grid_10, Trip Size: 1005, Average Time: 333.402, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1618
so_simple--[2024-04-06 16:25:29.745681] , Network: grid_10, Trip Size: 1006, Average Time: 365.474, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1720
so_simple--[2024-04-06 16:34:31.388682] , Network: grid_10, Trip Size: 1007, Average Time: 351.57, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1677
so_simple--[2024-04-06 16:56:18.600404] , Network: grid_10, Trip Size: 1008, Average Time: 350.17, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1677
so_simple--[2024-04-06 17:05:57.758923] , Network: grid_10, Trip Size: 1009, Average Time: 360.884, Increase factor: 1.04, Congestion T: 3, Maxspeed: 15.0, sim_time: 1722
so_simple--[2024-04-06 17:13:10.597020] , Network: grid_10, Trip Size: 1000, Average Time: 355.265, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1696
so_simple--[2024-04-06 17:22:12.869236] , Network: grid_10, Trip Size: 1001, Average Time: 370.73, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1733
so_simple--[2024-04-06 17:27:36.016703] , Network: grid_10, Trip Size: 1002, Average Time: 356.08, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1706
so_simple--[2024-04-06 17:40:19.103874] , Network: grid_10, Trip Size: 1003, Average Time: 355.8, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1720
so_simple--[2024-04-06 17:49:22.848050] , Network: grid_10, Trip Size: 1004, Average Time: 377.137, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1794
so_simple--[2024-04-06 18:11:09.262734] , Network: grid_10, Trip Size: 1005, Average Time: 366.988, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1691
so_simple--[2024-04-06 18:20:09.062409] , Network: grid_10, Trip Size: 1006, Average Time: 340.775, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1686
so_simple--[2024-04-06 18:27:52.046608] , Network: grid_10, Trip Size: 1007, Average Time: 355.899, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1730
so_simple--[2024-04-06 18:35:46.927187] , Network: grid_10, Trip Size: 1008, Average Time: 344.17, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1678
so_simple--[2024-04-06 18:41:55.031848] , Network: grid_10, Trip Size: 1009, Average Time: 358.966, Increase factor: 1.045, Congestion T: 3, Maxspeed: 15.0, sim_time: 1596
so_simple--[2024-04-06 18:54:20.805253] , Network: grid_10, Trip Size: 1000, Average Time: 353.844, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1695
so_simple--[2024-04-06 19:16:04.064626] , Network: grid_10, Trip Size: 1001, Average Time: 381.231, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1740
so_simple--[2024-04-06 19:42:09.314593] , Network: grid_10, Trip Size: 1002, Average Time: 380.16, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1767
so_simple--[2024-04-06 19:48:37.330360] , Network: grid_10, Trip Size: 1003, Average Time: 384.876, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1821
so_simple--[2024-04-06 20:09:55.258030] , Network: grid_10, Trip Size: 1004, Average Time: 372.59, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1787
so_simple--[2024-04-06 20:17:27.362638] , Network: grid_10, Trip Size: 1005, Average Time: 369.256, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1732
so_simple--[2024-04-06 20:21:58.683400] , Network: grid_10, Trip Size: 1006, Average Time: 365.144, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1765
so_simple--[2024-04-06 20:28:54.289931] , Network: grid_10, Trip Size: 1007, Average Time: 348.634, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1721
so_simple--[2024-04-06 21:08:56.177126] , Network: grid_10, Trip Size: 1008, Average Time: 392.059, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1741
so_simple--[2024-04-06 21:30:41.475905] , Network: grid_10, Trip Size: 1009, Average Time: 355.975, Increase factor: 1.05, Congestion T: 3, Maxspeed: 15.0, sim_time: 1776
so_simple--[2024-04-06 21:52:13.967237] , Network: grid_10, Trip Size: 1000, Average Time: 378.145, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1876
so_simple--[2024-04-06 22:29:02.330395] , Network: grid_10, Trip Size: 1001, Average Time: 386.369, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1676
so_simple--[2024-04-06 22:49:09.477341] , Network: grid_10, Trip Size: 1002, Average Time: 399.193, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1731
so_simple--[2024-04-06 23:25:47.805429] , Network: grid_10, Trip Size: 1003, Average Time: 379.741, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1783
so_simple--[2024-04-06 23:43:13.636898] , Network: grid_10, Trip Size: 1004, Average Time: 385.494, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1721
so_simple--[2024-04-07 00:07:17.643891] , Network: grid_10, Trip Size: 1005, Average Time: 397.836, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1810
so_simple--[2024-04-07 00:40:49.081484] , Network: grid_10, Trip Size: 1006, Average Time: 385.148, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1734
so_simple--[2024-04-07 00:57:46.691512] , Network: grid_10, Trip Size: 1007, Average Time: 361.062, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1641
so_simple--[2024-04-07 01:33:07.611692] , Network: grid_10, Trip Size: 1008, Average Time: 379.209, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1780
so_simple--[2024-04-07 01:45:20.088618] , Network: grid_10, Trip Size: 1009, Average Time: 380.342, Increase factor: 1.055, Congestion T: 3, Maxspeed: 15.0, sim_time: 1737
so_simple--[2024-04-07 01:50:14.164626] , Network: grid_10, Trip Size: 1000, Average Time: 394.292, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1791
so_simple--[2024-04-07 01:55:01.479740] , Network: grid_10, Trip Size: 1001, Average Time: 379.95, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1766
so_simple--[2024-04-07 02:00:04.122327] , Network: grid_10, Trip Size: 1002, Average Time: 406.667, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1812
so_simple--[2024-04-07 02:04:51.554451] , Network: grid_10, Trip Size: 1003, Average Time: 382.137, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1766
so_simple--[2024-04-07 02:10:00.178405] , Network: grid_10, Trip Size: 1004, Average Time: 414.962, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1855
so_simple--[2024-04-07 02:15:14.971927] , Network: grid_10, Trip Size: 1005, Average Time: 417.097, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1901
