so_simple--[2024-03-27 16:08:19.907634] , Network: tree_23_tl, Trip Size: 500, Average Time: 334.262, Increase factor: 1.034, Congestion T: 3, Maxspeed: 5.0, sim_time: 1969
so_simple--[2024-03-27 16:08:56.830968] , Network: tree_23_tl, Trip Size: 500, Average Time: 343.642, Increase factor: 1.035, Congestion T: 3, Maxspeed: 5.0, sim_time: 1991
so_simple--[2024-03-27 16:09:31.811266] , Network: tree_23_tl, Trip Size: 500, Average Time: 317.806, Increase factor: 1.036, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:10:08.727998] , Network: tree_23_tl, Trip Size: 500, Average Time: 348.868, Increase factor: 1.037, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:10:44.863113] , Network: tree_23_tl, Trip Size: 500, Average Time: 334.392, Increase factor: 1.038, Congestion T: 3, Maxspeed: 5.0, sim_time: 1994
so_simple--[2024-03-27 16:11:20.614545] , Network: tree_23_tl, Trip Size: 500, Average Time: 329.784, Increase factor: 1.039, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:11:56.362824] , Network: tree_23_tl, Trip Size: 500, Average Time: 330.53, Increase factor: 1.04, Congestion T: 3, Maxspeed: 5.0, sim_time: 1991
so_simple--[2024-03-27 16:12:32.359016] , Network: tree_23_tl, Trip Size: 500, Average Time: 335.732, Increase factor: 1.041, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:13:11.748553] , Network: tree_23_tl, Trip Size: 500, Average Time: 325.318, Increase factor: 1.042, Congestion T: 3, Maxspeed: 5.0, sim_time: 1971
so_simple--[2024-03-27 16:13:49.547194] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.486, Increase factor: 1.043, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:14:28.134291] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.194, Increase factor: 1.044, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:15:07.125285] , Network: tree_23_tl, Trip Size: 500, Average Time: 332.626, Increase factor: 1.045, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:15:44.108306] , Network: tree_23_tl, Trip Size: 500, Average Time: 329.948, Increase factor: 1.046, Congestion T: 3, Maxspeed: 5.0, sim_time: 2074
so_simple--[2024-03-27 16:16:20.135282] , Network: tree_23_tl, Trip Size: 500, Average Time: 322.68, Increase factor: 1.047, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:16:57.875572] , Network: tree_23_tl, Trip Size: 500, Average Time: 327.944, Increase factor: 1.048, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:17:35.300482] , Network: tree_23_tl, Trip Size: 500, Average Time: 325.886, Increase factor: 1.049, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:20:37.030281] , Network: tree_23_tl, Trip Size: 500, Average Time: 323.108, Increase factor: 1.05, Congestion T: 3, Maxspeed: 5.0, sim_time: 1976
so_simple--[2024-03-27 16:21:12.821253] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.008, Increase factor: 1.051, Congestion T: 3, Maxspeed: 5.0, sim_time: 2021
so_simple--[2024-03-27 16:21:48.371811] , Network: tree_23_tl, Trip Size: 500, Average Time: 339.024, Increase factor: 1.052, Congestion T: 3, Maxspeed: 5.0, sim_time: 1998
so_simple--[2024-03-27 16:22:25.019922] , Network: tree_23_tl, Trip Size: 500, Average Time: 331.586, Increase factor: 1.053, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:23:03.024104] , Network: tree_23_tl, Trip Size: 500, Average Time: 339.562, Increase factor: 1.054, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:23:39.798762] , Network: tree_23_tl, Trip Size: 500, Average Time: 335.262, Increase factor: 1.055, Congestion T: 3, Maxspeed: 5.0, sim_time: 1998
so_simple--[2024-03-27 16:24:15.370483] , Network: tree_23_tl, Trip Size: 500, Average Time: 328.408, Increase factor: 1.056, Congestion T: 3, Maxspeed: 5.0, sim_time: 1994
so_simple--[2024-03-27 16:24:58.612141] , Network: tree_23_tl, Trip Size: 500, Average Time: 354.412, Increase factor: 1.057, Congestion T: 3, Maxspeed: 5.0, sim_time: 2044
so_simple--[2024-03-27 16:25:43.232984] , Network: tree_23_tl, Trip Size: 500, Average Time: 349.702, Increase factor: 1.058, Congestion T: 3, Maxspeed: 5.0, sim_time: 1998
so_simple--[2024-03-27 16:26:24.387298] , Network: tree_23_tl, Trip Size: 500, Average Time: 343.252, Increase factor: 1.059, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:27:09.931938] , Network: tree_23_tl, Trip Size: 500, Average Time: 343.312, Increase factor: 1.06, Congestion T: 3, Maxspeed: 5.0, sim_time: 1994
so_simple--[2024-03-27 16:27:45.183835] , Network: tree_23_tl, Trip Size: 500, Average Time: 325.818, Increase factor: 1.061, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:28:38.210859] , Network: tree_23_tl, Trip Size: 500, Average Time: 326.536, Increase factor: 1.062, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:29:18.817084] , Network: tree_23_tl, Trip Size: 500, Average Time: 350.352, Increase factor: 1.063, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
