

so_simple--[2024-04-09 22:59:38.740559] , Network: grid_10, Trip Size: 132, Average Time: 456.76323676323676, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1147
ue_simple--[2024-04-09 23:02:58.432156] , Network: grid_10, Trip Size: 132, Average Time: 459.79520479520477, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
so_simple--[2024-04-09 23:17:11.936487] , Network: grid_10, Trip Size: 133, Average Time: 449.6623376623377, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
ue_simple--[2024-04-09 23:20:35.226447] , Network: grid_10, Trip Size: 133, Average Time: 484.13586413586415, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
so_simple--[2024-04-09 23:24:33.802578] , Network: grid_10, Trip Size: 134, Average Time: 458.24075924075925, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
ue_simple--[2024-04-09 23:27:58.881942] , Network: grid_10, Trip Size: 134, Average Time: 483.8481518481519, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
so_simple--[2024-04-09 23:31:50.192515] , Network: grid_10, Trip Size: 135, Average Time: 439.1918081918082, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
ue_simple--[2024-04-09 23:35:14.149600] , Network: grid_10, Trip Size: 135, Average Time: 465.9250749250749, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1183
so_simple--[2024-04-09 23:38:54.580257] , Network: grid_10, Trip Size: 136, Average Time: 457.8941058941059, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1107
ue_simple--[2024-04-09 23:42:14.147257] , Network: grid_10, Trip Size: 136, Average Time: 467.2157842157842, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1164
so_simple--[2024-04-09 23:46:08.039095] , Network: grid_10, Trip Size: 137, Average Time: 458.4735264735265, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1190
ue_simple--[2024-04-09 23:49:41.693256] , Network: grid_10, Trip Size: 137, Average Time: 468.968031968032, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1180
so_simple--[2024-04-09 23:53:33.406041] , Network: grid_10, Trip Size: 138, Average Time: 445.15484515484513, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1147
ue_simple--[2024-04-09 23:56:51.602399] , Network: grid_10, Trip Size: 138, Average Time: 451.94805194805195, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1148
so_simple--[2024-04-10 00:00:33.871415] , Network: grid_10, Trip Size: 139, Average Time: 449.2117882117882, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1091
ue_simple--[2024-04-10 00:04:01.488833] , Network: grid_10, Trip Size: 139, Average Time: 469.3036963036963, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1146
so_simple--[2024-04-10 00:07:47.106391] , Network: grid_10, Trip Size: 140, Average Time: 446.4775224775225, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
ue_simple--[2024-04-10 00:11:30.151720] , Network: grid_10, Trip Size: 140, Average Time: 471.5004995004995, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1227
so_simple--[2024-04-10 00:15:11.007073] , Network: grid_10, Trip Size: 141, Average Time: 425.2637362637363, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1146
ue_simple--[2024-04-10 00:18:26.183272] , Network: grid_10, Trip Size: 141, Average Time: 454.4795204795205, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1152
so_simple--[2024-04-10 00:22:37.072536] , Network: grid_10, Trip Size: 142, Average Time: 460.68431568431566, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1101
ue_simple--[2024-04-10 00:43:56.794074] , Network: grid_10, Trip Size: 142, Average Time: 490.87212787212786, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1227
so_simple--[2024-04-10 01:50:40.591253] , Network: grid_10, Trip Size: 143, Average Time: 434.04395604395603, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1091
ue_simple--[2024-04-10 02:10:02.063082] , Network: grid_10, Trip Size: 143, Average Time: 449.57142857142856, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
so_simple--[2024-04-10 02:39:57.692434] , Network: grid_10, Trip Size: 144, Average Time: 456.6013986013986, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
ue_simple--[2024-04-10 03:01:00.490255] , Network: grid_10, Trip Size: 144, Average Time: 464.4985014985015, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
so_simple--[2024-04-10 03:36:13.696506] , Network: grid_10, Trip Size: 145, Average Time: 449.032967032967, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1197
ue_simple--[2024-04-10 03:55:49.275962] , Network: grid_10, Trip Size: 145, Average Time: 452.72927072927075, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1145
so_simple--[2024-04-10 04:30:52.488191] , Network: grid_10, Trip Size: 146, Average Time: 438.56843156843155, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
ue_simple--[2024-04-10 04:49:11.210785] , Network: grid_10, Trip Size: 146, Average Time: 481.3386613386613, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
