ue_simple--[2024-03-27 13:59:48.233648] , Network: rand_20, Trip Size: 1017, Average Time: 299.323, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1721
so_simple--[2024-03-27 14:01:01.040850] , Network: rand_20, Trip Size: 1018, Average Time: 299.676, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1785
ue_simple--[2024-03-27 14:01:56.741247] , Network: rand_20, Trip Size: 1018, Average Time: 296.293, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1691
so_simple--[2024-03-27 14:03:10.758950] , Network: rand_20, Trip Size: 1019, Average Time: 305.534, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1657
ue_simple--[2024-03-27 14:04:08.527442] , Network: rand_20, Trip Size: 1019, Average Time: 310.879, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1646
so_simple--[2024-03-27 14:05:22.140643] , Network: rand_20, Trip Size: 1020, Average Time: 306.158, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1635
ue_simple--[2024-03-27 14:06:16.694309] , Network: rand_20, Trip Size: 1020, Average Time: 281.804, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1635
so_simple--[2024-03-27 14:07:33.663463] , Network: rand_20, Trip Size: 1021, Average Time: 310.711, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1772
ue_simple--[2024-03-27 14:08:34.065499] , Network: rand_20, Trip Size: 1021, Average Time: 339.634, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1786
so_simple--[2024-03-27 14:09:49.797808] , Network: rand_20, Trip Size: 1022, Average Time: 327.815, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1744
ue_simple--[2024-03-27 14:10:43.266928] , Network: rand_20, Trip Size: 1022, Average Time: 287.322, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1591
so_simple--[2024-03-27 14:11:56.198339] , Network: rand_20, Trip Size: 1023, Average Time: 291.608, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1680
ue_simple--[2024-03-27 14:12:53.152889] , Network: rand_20, Trip Size: 1023, Average Time: 308.153, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1667
so_simple--[2024-03-27 14:14:09.049454] , Network: rand_20, Trip Size: 1024, Average Time: 307.784, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1680
ue_simple--[2024-03-27 14:15:05.961451] , Network: rand_20, Trip Size: 1024, Average Time: 309.741, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1639
so_simple--[2024-03-27 14:16:12.157512] , Network: rand_20, Trip Size: 1025, Average Time: 284.608, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1502
ue_simple--[2024-03-27 14:17:13.954862] , Network: rand_20, Trip Size: 1025, Average Time: 331.191, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1782
so_simple--[2024-03-27 14:18:30.511531] , Network: rand_20, Trip Size: 1026, Average Time: 307.664, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1681
ue_simple--[2024-03-27 14:19:26.587470] , Network: rand_20, Trip Size: 1026, Average Time: 306.05, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1591
so_simple--[2024-03-27 14:20:40.418353] , Network: rand_20, Trip Size: 1027, Average Time: 306.674, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1606
ue_simple--[2024-03-27 14:21:37.892469] , Network: rand_20, Trip Size: 1027, Average Time: 319.318, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1680
so_simple--[2024-03-27 14:22:51.560390] , Network: rand_20, Trip Size: 1028, Average Time: 308.652, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1733
ue_simple--[2024-03-27 14:23:48.985587] , Network: rand_20, Trip Size: 1028, Average Time: 331.363, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1671
