
ue_simple--[2024-04-08 14:49:33.298391] , Network: rand_20, Trip Size: 2018, Average Time: 176.081, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2316
so_simple--[2024-04-08 14:50:31.741159] , Network: rand_20, Trip Size: 2019, Average Time: 182.671, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2379
ue_simple--[2024-04-08 14:51:18.873431] , Network: rand_20, Trip Size: 2019, Average Time: 180.13, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2417
so_simple--[2024-04-08 14:52:16.846251] , Network: rand_20, Trip Size: 2020, Average Time: 185.349, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2327
ue_simple--[2024-04-08 14:53:03.422149] , Network: rand_20, Trip Size: 2020, Average Time: 188.075, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2302
so_simple--[2024-04-08 14:54:01.591627] , Network: rand_20, Trip Size: 2021, Average Time: 179.423, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2408
ue_simple--[2024-04-08 14:54:47.595560] , Network: rand_20, Trip Size: 2021, Average Time: 174.28, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2324
so_simple--[2024-04-08 14:55:46.351650] , Network: rand_20, Trip Size: 2022, Average Time: 171.516, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2421
ue_simple--[2024-04-08 14:56:33.196951] , Network: rand_20, Trip Size: 2022, Average Time: 185.184, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2366
so_simple--[2024-04-08 14:57:29.213733] , Network: rand_20, Trip Size: 2023, Average Time: 175.722, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2290
ue_simple--[2024-04-08 14:58:16.168441] , Network: rand_20, Trip Size: 2023, Average Time: 180.254, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2299
so_simple--[2024-04-08 14:59:20.525041] , Network: rand_20, Trip Size: 2024, Average Time: 178.659, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2381
ue_simple--[2024-04-08 15:00:08.023303] , Network: rand_20, Trip Size: 2024, Average Time: 177.015, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2371
so_simple--[2024-04-08 15:01:05.015547] , Network: rand_20, Trip Size: 2025, Average Time: 176.305, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2291
ue_simple--[2024-04-08 15:01:56.111498] , Network: rand_20, Trip Size: 2025, Average Time: 180.605, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2269
so_simple--[2024-04-08 15:02:50.178208] , Network: rand_20, Trip Size: 2026, Average Time: 180.839, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2316
ue_simple--[2024-04-08 15:03:34.081175] , Network: rand_20, Trip Size: 2026, Average Time: 184.558, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2327
so_simple--[2024-04-08 15:04:34.817923] , Network: rand_20, Trip Size: 2027, Average Time: 177.006, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2441
ue_simple--[2024-04-08 15:05:20.983293] , Network: rand_20, Trip Size: 2027, Average Time: 183.431, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2374
so_simple--[2024-04-08 15:06:20.480502] , Network: rand_20, Trip Size: 2028, Average Time: 178.601, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2424
ue_simple--[2024-04-08 15:07:06.091871] , Network: rand_20, Trip Size: 2028, Average Time: 187.93, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2406
so_simple--[2024-04-08 15:08:04.713563] , Network: rand_20, Trip Size: 2029, Average Time: 173.924, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2443
ue_simple--[2024-04-08 15:08:51.597412] , Network: rand_20, Trip Size: 2029, Average Time: 185.166, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2409
so_simple--[2024-04-08 15:09:45.286791] , Network: rand_20, Trip Size: 2030, Average Time: 172.324, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2321
ue_simple--[2024-04-08 15:10:30.732161] , Network: rand_20, Trip Size: 2030, Average Time: 179.559, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2307
so_simple--[2024-04-08 15:11:29.346475] , Network: rand_20, Trip Size: 2031, Average Time: 186.415, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2368
ue_simple--[2024-04-08 15:12:18.550365] , Network: rand_20, Trip Size: 2031, Average Time: 185.458, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2311
so_simple--[2024-04-08 15:13:17.032162] , Network: rand_20, Trip Size: 2032, Average Time: 179.676, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2295
ue_simple--[2024-04-08 15:14:08.024219] , Network: rand_20, Trip Size: 2032, Average Time: 187.321, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2391
so_simple--[2024-04-08 15:15:04.333231] , Network: rand_20, Trip Size: 2033, Average Time: 175.812, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2308
ue_simple--[2024-04-08 15:15:50.237689] , Network: rand_20, Trip Size: 2033, Average Time: 177.252, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2298
so_simple--[2024-04-08 15:16:50.485462] , Network: rand_20, Trip Size: 2034, Average Time: 186.616, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2314
ue_simple--[2024-04-08 15:17:37.804893] , Network: rand_20, Trip Size: 2034, Average Time: 183.493, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2361
so_simple--[2024-04-08 15:18:38.246710] , Network: rand_20, Trip Size: 2035, Average Time: 177.342, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2354
ue_simple--[2024-04-08 15:19:25.531852] , Network: rand_20, Trip Size: 2035, Average Time: 171.94, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2312
