system_optimum--[2024-04-09 14:01:57.608523] , Network: grid_10, Trip Size: 500, Average Time: 388.574, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1324
user_equilibrium--[2024-04-09 14:05:25.192076] , Network: grid_10, Trip Size: 500, Average Time: 394.804, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1362
system_optimum--[2024-04-09 14:09:04.372305] , Network: grid_10, Trip Size: 501, Average Time: 378.032, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1260
user_equilibrium--[2024-04-09 14:12:19.104713] , Network: grid_10, Trip Size: 501, Average Time: 374.842, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-09 14:16:00.981329] , Network: grid_10, Trip Size: 502, Average Time: 372.403, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
user_equilibrium--[2024-04-09 14:19:23.455608] , Network: grid_10, Trip Size: 502, Average Time: 376.057, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1317
system_optimum--[2024-04-09 14:23:23.553761] , Network: grid_10, Trip Size: 503, Average Time: 393.756, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1361
user_equilibrium--[2024-04-09 14:26:50.440034] , Network: grid_10, Trip Size: 503, Average Time: 399.4, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1326
system_optimum--[2024-04-09 14:30:30.757009] , Network: grid_10, Trip Size: 504, Average Time: 371.333, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1279
user_equilibrium--[2024-04-09 14:33:51.318726] , Network: grid_10, Trip Size: 504, Average Time: 382.583, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1290
system_optimum--[2024-04-09 14:37:35.049566] , Network: grid_10, Trip Size: 505, Average Time: 386.25, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1289
user_equilibrium--[2024-04-09 14:40:51.617402] , Network: grid_10, Trip Size: 505, Average Time: 386.657, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1289
system_optimum--[2024-04-09 14:44:45.577236] , Network: grid_10, Trip Size: 506, Average Time: 403.295, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1335
user_equilibrium--[2024-04-09 14:48:10.335774] , Network: grid_10, Trip Size: 506, Average Time: 401.842, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1362
system_optimum--[2024-04-09 14:51:55.479484] , Network: grid_10, Trip Size: 507, Average Time: 381.126, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1272
user_equilibrium--[2024-04-09 14:55:24.309580] , Network: grid_10, Trip Size: 507, Average Time: 403.149, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1362
system_optimum--[2024-04-09 14:58:54.760402] , Network: grid_10, Trip Size: 508, Average Time: 357.746, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1237
user_equilibrium--[2024-04-09 15:02:32.627303] , Network: grid_10, Trip Size: 508, Average Time: 395.682, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1452
system_optimum--[2024-04-09 15:06:25.332258] , Network: grid_10, Trip Size: 509, Average Time: 393.911, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1316
user_equilibrium--[2024-04-09 15:09:53.484041] , Network: grid_10, Trip Size: 509, Average Time: 408.318, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1361
system_optimum--[2024-04-09 15:13:27.104614] , Network: grid_10, Trip Size: 510, Average Time: 385.612, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1244
user_equilibrium--[2024-04-09 15:16:53.565766] , Network: grid_10, Trip Size: 510, Average Time: 412.208, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1360
system_optimum--[2024-04-09 15:20:27.667437] , Network: grid_10, Trip Size: 511, Average Time: 378.794, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1245
user_equilibrium--[2024-04-09 15:44:34.451203] , Network: grid_10, Trip Size: 511, Average Time: 387.248, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1317
system_optimum--[2024-04-09 15:48:29.864737] , Network: grid_10, Trip Size: 512, Average Time: 377.279, Increase factor: 1.015, Congestion T: 3, Maxspeed: 15.0, sim_time: 1253
